Data Medicao,PRECIPITACAO TOTAL,TEMPERATURA MAXIMA MEDIA,TEMPERATURA MEDIA COMPENSADA,TEMPERATURA MINIMA MEDIA,UMIDADE RELATIVA DO AR,CASOS DENGUE
2016-01-31,118,27,21,17,81,
2016-02-29,186,27,22,19,86,1
2016-03-31,120,26,20,15,83,2
2016-04-30,102,303448,862667,153333,1,1
2016-05-31,141,503226,206452,648387,677419,
2016-06-30,96,17,10,6,87,1
2016-07-31,87,20,12,7,82,
2016-08-31,219,20,13,9,85,1
2016-09-30,65,22,14,9,75,
2016-10-31,131,23,17,13,81,
2016-11-30,103,25,19,14,77,
2016-12-31,125,26,20,16,82,
2017-01-31,183,28,21,17,83,
2017-02-28,213,29,22,18,82,1
2017-03-31,97,26,20,16,84,
2017-04-30,115,22,17,13,84,
2017-05-31,167,21,16,13,89,1
2017-06-30,163,20,13,9,86,
2017-07-31,6,20,12,7,79,
2017-08-31,103,21,14,10,81,
2017-09-30,67,27,18,13,70,
2017-10-31,239,24,17,13,81,
2017-11-30,189,25,18,13,75,
2017-12-31,232,26,20,17,83,
2018-01-31,286,26,21,17,85,
2018-02-28,71,25,19,15,82,
2018-03-31,301,3,14129,787097,443548,
2018-04-30,3,26,18,13,81,
2018-05-31,24,22,15,10,80,
2018-06-30,103,19,13,9,89,
2018-07-31,2,22,14,9,79,
2018-08-31,42,20,13,8,80,
2018-09-30,141,23,16,12,82,
2018-10-31,280,22,17,14,88,
2018-11-30,76,26,19,15,79,
2018-12-31,56,30,22,16,73,1
2019-01-31,148,29,23,18,83,
2019-02-28,275,26,20,17,84,
2019-03-31,117,351613,463226,816129,322581,1
2019-04-30,177,24,18,15,88,
2019-05-31,280,21,16,13,90,
2019-06-30,115,21,14,10,85,
2019-07-31,15,20,13,8,80,
2019-08-31,36,21,13,8,77,
2019-09-30,166,24,17,12,79,
2019-10-31,100,27,19,15,76,
2019-11-30,127,703333,958,656667,608333,
2019-12-31,152,26,20,16,80,
2020-01-31,206,27,21,17,84,1
2020-02-29,81,27,20,16,81,2
2020-03-31,46,27,19,14,76,3
2020-04-30,39,25,16,10,74,
2020-05-31,93,21,13,8,80,1
2020-06-30,152,20,15,11,87,
2020-07-31,64,20,13,8,84,
2020-08-31,207,21,13,8,82,
2020-09-30,56,26,18,13,75,
2020-10-31,111,26,19,13,75,1
2020-11-30,99,null,null,,,1
2020-12-31,225,26,20,16,84,1
