Data Medicao,PRECIPITACAO TOTAL,TEMPERATURA MAXIMA MEDIA,TEMPERATURA MEDIA COMPENSADA,TEMPERATURA MINIMA MEDIA,UMIDADE RELATIVA DO AR,CASOS DENGUE
2016-01-31,199,28,22,18,77,
2016-02-29,null,624,2672,16,,
2016-03-31,null,608,88,104,,
2016-04-30,121,26,20,16,null,2
2016-05-31,null,192308,52308,838462,,
2016-06-30,null,11,7,null,,
2016-07-31,null,495652,413913,125,,
2016-08-31,null,933333,805926,866667,,
2016-09-30,null,653846,470769,346154,,
2016-10-31,null,null,null,,,
2016-11-30,null,615385,789231,746154,,
2016-12-31,null,230769,894815,274074,,
2017-01-31,null,16,5632,112,,
2017-02-28,null,41667,6,2,,
2017-03-31,76,26,21,17,null,
2017-04-30,null,524,6376,null,,
2017-05-31,null,null,null,,,
2017-06-30,null,null,null,,,
2017-07-31,null,null,null,,,
2017-08-31,null,null,null,,,
2017-09-30,null,576923,52308,315385,,
2017-10-31,null,null,null,,,
2017-11-30,null,61538,554615,19231,,
2017-12-31,null,446154,386154,7692,,
2018-01-31,null,88889,4,125926,,
2018-02-28,null,116667,361667,358333,,
2018-03-31,null,2,385185,66667,,
2018-04-30,null,896,944,184,,
2018-05-31,null,251852,5037,666667,,
2018-06-30,null,25,766,23,,
2018-07-31,null,281818,450909,913043,,
2018-08-31,null,384615,992308,718519,,
2018-09-30,null,712,8672,52,,
2018-10-31,null,696296,725926,8,,
2018-11-30,null,null,null,,,
2018-12-31,null,576923,383077,738462,,
2019-01-31,null,496296,334815,259259,,
2019-02-28,null,591304,8,5,,
2019-03-31,null,346154,904615,6,,
2019-04-30,null,561538,553846,69231,,
2019-05-31,null,8,535,872,,
2019-06-30,null,1,966667,241667,,
2019-07-31,null,496296,426154,946154,,
2019-08-31,null,696296,751111,962963,,
2019-09-30,null,776,4064,408,,
2019-10-31,106,28,21,16,null,
2019-11-30,null,null,null,,,
2019-12-31,227,776923,935238,209524,,
2020-01-31,null,177778,493333,274074,,
2020-02-29,null,464,944,336,,
2020-03-31,null,126923,50769,188462,,1
2020-04-30,null,null,null,,,
2020-05-31,null,null,null,,,
2020-06-30,null,6,513846,292308,,
2020-07-31,null,623077,41481,681481,,
2020-08-31,null,311538,709524,995238,,
2020-09-30,null,8,861818,390909,,
2020-10-31,null,57037,723478,965217,,
2020-11-30,null,null,null,,,
2020-12-31,148,26,22,18,null,
