Data Medicao;PRECIPITACAO TOTAL;TEMPERATURA MAXIMA MEDIA;TEMPERATURA MEDIA COMPENSADA;TEMPERATURA MINIMA MEDIA;UMIDADE RELATIVA DO AR;CASOS DENGUE;MESES DESDE A ULTIMA CAMPANHA
31/01/2016;365;28;20;19;71;10160;
29/02/2016;188;31;22;20;58;37484;
31/03/2016;110;28;21;19;64;51505;
30/04/2016;25;28;21;19;57;39193;
31/05/2016;0;26;18;16;60;14445;0
30/06/2016;57;24;16;13;64;2797;1
31/07/2016;0;26;18;14;52;449;2
31/08/2016;1;27;18;14;49;118;3
30/09/2016;64;29;20;16;50;65;4
31/10/2016;51;28;20;19;59;76;5
30/11/2016;380;27;19;19;69;88;6
31/12/2016;248;28;20;20;66;162;7
31/01/2017;113;29;22;21;58;186;8
28/02/2017;186;28;20;20;65;171;9
31/03/2017;152;29;21;20;59;193;10
30/04/2017;88;27;19;19;64;100;11
31/05/2017;15;25;18;17;65;71;12
30/06/2017;21;25;17;16;61;61;13
31/07/2017;0;22;15;14;56;15;14
31/08/2017;0;27;18;15;48;28;15
30/09/2017;35;27;18;16;48;18;16
31/10/2017;170;30;21;19;51;49;17
30/11/2017;157;27;19;19;67;44;18
31/12/2017;296;28;20;20;69;41;19
31/01/2018;156;29;21;20;59;44;20
28/02/2018;324;27;20;20;71;28;21
31/03/2018;348;29;21;20;68;50;22
30/04/2018;11;26;19;19;63;76;23
31/05/2018;18;25;17;16;60;48;24
30/06/2018;0;25;18;16;60;29;25
31/07/2018;3;26;17;15;54;29;26
31/08/2018;50;25;17;16;59;15;27
30/09/2018;59;28;19;17;57;24;28
31/10/2018;137;29;20;19;64;39;29
30/11/2018;292;26;19;18;67;57;30
31/12/2018;283;29;21;19;67;70;31
31/01/2019;61;30;22;20;55;254;32
28/02/2019;240;30;22;19;65;1231;33
31/03/2019;142;29;21;19;66;8193;34
30/04/2019;109;28;21;19;66;36009;35
31/05/2019;66;27;19;17;65;51140;36
30/06/2019;13;25;17;14;60;16240;37
31/07/2019;0;25;16;14;51;2667;38
31/08/2019;9;26;17;16;54;257;39
30/09/2019;29;29;21;18;51;149;40
31/10/2019;69;30;21;19;51;67;41
30/11/2019;254;29;20;19;67;55;0
31/12/2019;215;28;20;19;66;58;1
31/01/2020;966;29;21;19;74;349;2
29/02/2020;407;28;20;19;73;859;3
31/03/2020;304;27;19;18;70;1605;0
30/04/2020;97;27;19;17;69;1009;1
31/05/2020;54;24;17;14;65;550;2
30/06/2020;2;25;17;15;59;227;3
31/07/2020;12;25;17;15;58;111;4
31/08/2020;12;25;16;14;56;68;5
30/09/2020;11;30;21;18;45;64;6
31/10/2020;84;29;21;19;62;80;7
30/11/2020;181;28;20;18;65;362;8
31/12/2020;264;28;21;19;67;514;9
