Data Medicao;PRECIPITACAO TOTAL;TEMPERATURA MAXIMA MEDIA;TEMPERATURA MEDIA COMPENSADA;TEMPERATURA MINIMA MEDIA;UMIDADE RELATIVA DO AR;CASOS DENGUE;MESES DESDE A ULTIMA CAMPANHA
31/01/2016;399;null;null;24;80;397;0
29/02/2016;213;null;null;24;73;358;1
31/03/2016;197;null;26;23;77;118;2
30/04/2016;98;34;27;22;70;131;3
31/05/2016;5;31;25;20;73;79;4
30/06/2016;4;29;23;17;71;67;5
31/07/2016;0;34;25;16;62;64;6
31/08/2016;48;34;26;19;62;130;7
30/09/2016;17;34;25;20;56;135;8
31/10/2016;189;35;27;22;62;107;9
30/11/2016;235;33;26;23;76;121;10
31/12/2016;237;33;26;23;77;230;11
31/01/2017;142;33;26;23;75;348;12
28/02/2017;174;32;26;23;77;597;13
31/03/2017;185;33;26;23;76;787;14
30/04/2017;74;33;26;22;75;572;15
31/05/2017;41;33;26;22;74;429;16
30/06/2017;0;32;24;18;68;320;0
31/07/2017;0;33;24;15;54;125;1
31/08/2017;22;36;28;19;53;124;2
30/09/2017;2;37;30;21;48;90;3
31/10/2017;45;35;27;23;64;103;4
30/11/2017;95;34;27;24;72;86;5
31/12/2017;206;33;28;24;75;89;6
31/01/2018;87;33;26;23;76;238;7
28/02/2018;262;33;26;23;78;437;8
31/03/2018;123;33;26;24;81;331;9
30/04/2018;43;33;26;22;75;179;10
31/05/2018;26;32;25;19;69;74;11
30/06/2018;2;30;24;17;73;32;12
31/07/2018;0;32;24;16;64;51;13
31/08/2018;5;33;25;18;56;38;14
30/09/2018;72;37;27;21;54;17;15
31/10/2018;86;34;27;24;70;26;16
30/11/2018;490;33;27;24;75;27;17
31/12/2018;180;33;26;24;71;36;18
31/01/2019;141;33;26;23;74;69;19
28/02/2019;148;33;27;24;75;42;20
31/03/2019;94;34;27;24;75;42;21
30/04/2019;302;33;26;23;78;83;22
31/05/2019;45;31;25;20;75;88;23
30/06/2019;0;33;25;18;67;36;0
31/07/2019;0;33;26;17;60;25;1
31/08/2019;0;35;26;18;61;22;2
30/09/2019;14;38;29;23;54;9;3
31/10/2019;160;36;29;23;63;19;4
30/11/2019;54;35;28;24;70;17;5
31/12/2019;147;33;28;24;76;21;6
31/01/2020;140;35;29;24;81;70;7
29/02/2020;257;33;28;24;87;135;0
31/03/2020;102;35;29;23;81;148;1
30/04/2020;111;34;28;22;75;120;2
31/05/2020;68;31;24;18;71;150;3
30/06/2020;0;33;26;19;64;84;4
31/07/2020;0;34;26;17;52;33;5
31/08/2020;1;37;28;18;44;18;6
30/09/2020;1;39;31;23;43;36;7
31/10/2020;103;38;31;25;54;16;8
30/11/2020;80;36;30;24;58;11;9
31/12/2020;111;35;29;24;66;14;10
