Data Medicao;PRECIPITACAO TOTAL;TEMPERATURA MAXIMA MEDIA;TEMPERATURA MEDIA COMPENSADA;TEMPERATURA MINIMA MEDIA;UMIDADE RELATIVA DO AR;CASOS DENGUE
2016-01-31;164;26;21;17;79;154
2016-02-29;295;27;22;19;82;173
2016-03-31;92;26;20;17;79;112
2016-04-30;142;27;21;16;74;65
2016-05-31;142;19;15;12;85;17
2016-06-30;130;17;11;7;81;5
2016-07-31;117;21;14;9;75;3
2016-08-31;172;21;14;10;79;2
2016-10-31;172;22;17;13;82;1
2016-11-30;102;24;18;14;79;6
2016-12-31;76;25;22;17;48387;14
2017-01-31;191;27;22;18;80;24
2017-02-28;86;29;22;18;76;3
2017-03-31;40;24;20;17;217742;4
2017-04-30;69;22;18;15;466667;3
2017-05-31;88;21;16;13;86;6
2017-06-30;181;20;14;10;81;3
2017-07-31;7;20;13;9;78;1
2017-08-31;92;21;15;11;80;4
2017-09-30;36;26;19;14;72;3
2017-10-31;212;24;18;14;80;0
2017-11-30;129;24;18;14;76;2
2017-12-31;144;26;20;17;80;9
2018-01-31;371;26;20;17;81;7
2018-02-28;96;25;20;16;79;6
2018-03-31;327;27;21;18;82;4
2018-04-30;23;25;19;15;78;5
2018-05-31;27;22;16;13;85;3
2018-06-30;91;19;16;11;;1
2018-07-31;4;22;17;12;;1
2018-08-31;46;20;16;10;;0
2018-09-30;53;21;18;14;;0
2018-10-31;222;21;18;15;;0
2018-11-30;33;23;20;16;;2
2018-12-31;114;29;22;17;70;2
2019-01-31;190;30;24;19;74;10
2019-02-28;301;26;21;17;80;9
2019-03-31;67;26;20;17;81;21
2019-04-30;119;25;19;16;81;18
2019-05-31;206;23;20;16;225806;13
2019-06-30;123;22;16;11;80;7
2019-07-31;12;21;14;9;75;10
2019-08-31;35;21;14;10;77;1
2019-09-30;155;21;16;12;;2
2019-10-31;90;26;21;16;;2
2019-11-30;100;24;20;16;;7
2019-12-31;64;25;21;17;;10
2020-01-31;207;26;22;19;;84
2020-02-29;79;25;20;17;null;95
2020-03-31;14;26;21;16;;88
2020-04-30;22;24;19;14;;28
2020-05-31;28;21;17;11;;34
2020-06-30;127;20;17;13;;8
2020-07-31;43;20;16;11;;5
2020-08-31;144;21;16;11;;3
2020-09-30;32;25;20;14;;6
2020-10-31;102;24;20;16;;3
2020-11-30;205;24;20;16;;5
2020-12-31;154;26;20;17;null;14
