Data Medicao;PRECIPITACAO TOTAL;TEMPERATURA MAXIMA MEDIA;TEMPERATURA MEDIA COMPENSADA;TEMPERATURA MINIMA MEDIA;UMIDADE RELATIVA DO AR;CASOS DENGUE;MESES DESDE A ULTIMA CAMPANHA
31/01/2016;432;29;23;21;80;7309;
29/02/2016;152;33;25;21;68;13363;0
31/03/2016;170;32;24;21;67;16103;1
30/04/2016;0;33;24;20;50;10196;2
31/05/2016;57;32;23;18;53;4158;3
30/06/2016;0;31;21;16;48;1647;4
31/07/2016;0;32;22;16;40;791;5
31/08/2016;3;33;23;17;42;787;6
30/09/2016;8;35;26;20;38;883;7
31/10/2016;125;33;25;20;55;1144;8
30/11/2016;120;30;24;20;71;1487;9
31/12/2016;184;31;24;20;67;1809;10
31/01/2017;141;31;24;20;66;2212;11
28/02/2017;166;31;24;20;70;2932;12
31/03/2017;225;32;24;20;68;4332;13
30/04/2017;124;31;24;20;64;5021;14
31/05/2017;55;31;23;18;59;6437;15
30/06/2017;5;30;21;16;53;4614;16
31/07/2017;0;28;19;14;46;1712;17
31/08/2017;0;34;23;17;36;860;18
30/09/2017;8;34;25;19;35;664;19
31/10/2017;42;36;27;21;42;796;20
30/11/2017;240;31;24;20;68;702;21
31/12/2017;258;30;23;20;74;516;22
31/01/2018;157;31;24;20;66;2487;23
28/02/2018;242;30;24;20;70;3700;24
31/03/2018;209;31;24;20;71;5333;0
30/04/2018;134;null;23;19;67;5418;1
31/05/2018;9;null;21;16;55;5218;2
30/06/2018;0;31;21;16;51;2486;3
31/07/2018;0;31;21;15;43;961;4
31/08/2018;18;33;23;18;42;744;5
30/09/2018;38;34;25;19;41;539;6
31/10/2018;148;33;25;21;64;738;7
30/11/2018;null;29;23;20;73;1000;8
31/12/2018;185;32;24;20;65;1322;9
31/01/2019;64;33;25;20;60;2296;10
28/02/2019;222;31;24;20;71;2788;11
31/03/2019;135;31;24;20;70;4620;12
30/04/2019;265;31;24;20;70;5827;13
31/05/2019;44;31;23;18;63;6572;14
30/06/2019;0;30;21;16;51;4816;15
31/07/2019;0;30;20;15;45;1662;16
31/08/2019;0;33;23;18;39;1301;17
30/09/2019;18;36;27;21;33;880;18
31/10/2019;76;35;26;21;48;1028;0
30/11/2019;167;33;25;21;63;1077;1
31/12/2019;185;32;24;21;66;1074;2
31/01/2020;349;31;24;20;73;1446;3
29/02/2020;442;30;24;20;75;1928;4
31/03/2020;120;31;24;20;70;2268;5
30/04/2020;119;30;23;20;67;1501;6
31/05/2020;9;29;21;16;60;1283;0
30/06/2020;0;30;21;16;52;1922;1
31/07/2020;0;31;21;15;45;1562;2
31/08/2020;0;32;23;17;39;640;3
30/09/2020;1;35;26;20;31;386;4
31/10/2020;98;34;26;21;55;268;5
30/11/2020;181;32;25;20;58;327;6
31/12/2020;196;31;25;20;66;356;7
