Data Medicao;PRECIPITACAO TOTAL;TEMPERATURA MAXIMA MEDIA;TEMPERATURA MEDIA COMPENSADA;TEMPERATURA MINIMA MEDIA;UMIDADE RELATIVA DO AR;CASOS DENGUE
2016-01-31;419;30;25;21;73;180
2016-02-29;384;30;25;21;81;659
2016-03-31;101;30;24;19;69;981
2016-04-30;120;31;25;20;58;722
2016-05-31;252;23;18;15;79;143
2016-06-30;78;18;14;10;708333;9
2016-07-31;64;26;19;14;58;5
2016-08-31;144;26;20;15;63;8
2016-09-30;39;28;21;15;57;17
2016-10-31;138;29;23;18;64;21
2016-11-30;36;31;25;19;59;26
2016-12-31;215;30;24;20;74;15
2017-01-31;338;30;24;20;77;7
2017-02-28;149;32;26;21;70;14
2017-03-31;161;30;24;20;70;16
2017-04-30;159;27;22;17;73;7
2017-05-31;306;25;21;17;79;12
2017-06-30;103;23;18;14;;15
2017-07-31;0;25;19;14;;12
2017-08-31;142;27;21;16;59;28
2017-09-30;33;32;25;20;43;42
2017-10-31;311;29;23;18;67;40
2017-11-30;132;29;23;18;66;11
2017-12-31;210;29;25;21;73;8
2018-01-31;357;29;24;20;79;3
2018-02-28;88;29;24;20;69;1
2018-03-31;228;31;25;21;76;1
2018-04-30;26;29;24;19;63;5
2018-05-31;49;26;21;16;64;2
2018-06-30;66;24;19;15;73;
2018-07-31;6;27;20;15;53;2
2018-08-31;257;24;18;13;66;
2018-09-30;143;28;21;17;65;
2018-10-31;319;28;23;19;75;
2018-11-30;197;29;24;19;68;
2018-12-31;142;31;26;21;63;3
2019-01-31;201;32;26;22;70;4
2019-02-28;129;31;25;21;69;27
2019-03-31;197;30;24;20;72;114
2019-04-30;60;29;24;20;441667;237
2019-05-31;68;26;21;17;75;312
2019-06-30;92;26;21;17;65;179
2019-07-31;34;25;19;14;60;95
2019-08-31;;28;21;15;52;20
2019-09-30;66;30;24;19;56;12
2019-10-31;119;33;26;20;55;4
2019-11-30;78;31;26;21;391667;37
2019-12-31;377;29;24;20;72581;165
2020-01-31;170;30;25;21;580645;1433
2020-02-29;171;31;25;20;672414;4709
2020-03-31;36;31;25;20;58;3068
2020-04-30;38;28;22;17;58;1528
2020-05-31;61;25;19;14;62;613
2020-06-30;160;25;20;16;73;75
2020-07-31;26;26;19;15;62;26
2020-08-31;186;26;20;15;58;15
2020-09-30;10;32;26;20;45;12
2020-10-31;171;32;25;20;54;13
2020-11-30;64;32;26;20;;15
2020-12-31;208;30;25;20;71;20
